team,season,month,personnel,chassis_aero,operations,tooling,catering,it_sim,other,season_cap,data_source
Alpine,2021,1,3.45,2.27,1.36,0.91,0.36,0.36,0.36,147.4,estimated
Alpine,2021,2,3.45,2.27,1.36,0.91,0.36,0.36,0.36,147.4,estimated
Alpine,2021,3,3.82,2.51,1.51,1.0,0.4,0.4,0.4,147.4,estimated
Alpine,2021,4,3.98,2.62,1.57,1.05,0.42,0.42,0.42,147.4,estimated
Alpine,2021,5,3.83,2.52,1.51,1.01,0.4,0.4,0.4,147.4,estimated
Alpine,2021,6,3.76,2.47,1.48,0.99,0.4,0.4,0.4,147.4,estimated
Alpine,2021,7,4.06,2.67,1.6,1.07,0.43,0.43,0.43,147.4,estimated
Alpine,2021,8,3.94,2.59,1.55,1.04,0.41,0.41,0.41,147.4,estimated
Alpine,2021,9,3.77,2.48,1.49,0.99,0.4,0.4,0.4,147.4,estimated
Alpine,2021,10,3.77,2.48,1.49,0.99,0.4,0.4,0.4,147.4,estimated
Alpine,2021,11,3.59,2.36,1.42,0.95,0.38,0.38,0.38,147.4,estimated
Alpine,2021,12,3.41,2.25,1.35,0.9,0.36,0.36,0.36,147.4,estimated
Alpine,2022,1,3.33,2.19,1.31,0.88,0.35,0.35,0.35,142.4,estimated
Alpine,2022,2,3.17,2.09,1.25,0.84,0.33,0.33,0.33,142.4,estimated
Alpine,2022,3,3.47,2.28,1.37,0.91,0.37,0.37,0.37,142.4,estimated
Alpine,2022,4,3.66,2.41,1.45,0.96,0.39,0.39,0.39,142.4,estimated
Alpine,2022,5,3.65,2.4,1.44,0.96,0.38,0.38,0.38,142.4,estimated
Alpine,2022,6,3.72,2.45,1.47,0.98,0.39,0.39,0.39,142.4,estimated
Alpine,2022,7,3.7,2.43,1.46,0.97,0.39,0.39,0.39,142.4,estimated
Alpine,2022,8,3.61,2.37,1.42,0.95,0.38,0.38,0.38,142.4,estimated
Alpine,2022,9,3.87,2.55,1.53,1.02,0.41,0.41,0.41,142.4,estimated
Alpine,2022,10,3.59,2.36,1.42,0.95,0.38,0.38,0.38,142.4,estimated
Alpine,2022,11,3.55,2.34,1.4,0.94,0.37,0.37,0.37,142.4,estimated
Alpine,2022,12,3.22,2.12,1.27,0.85,0.34,0.34,0.34,142.4,estimated
Alpine,2023,1,3.1,2.04,1.22,0.81,0.33,0.33,0.33,137.4,estimated
Alpine,2023,2,3.23,2.12,1.27,0.85,0.34,0.34,0.34,137.4,estimated
Alpine,2023,3,3.37,2.21,1.33,0.89,0.35,0.35,0.35,137.4,estimated
Alpine,2023,4,3.58,2.36,1.41,0.94,0.38,0.38,0.38,137.4,estimated
Alpine,2023,5,3.52,2.32,1.39,0.93,0.37,0.37,0.37,137.4,estimated
Alpine,2023,6,3.48,2.29,1.38,0.92,0.37,0.37,0.37,137.4,estimated
Alpine,2023,7,3.55,2.34,1.4,0.94,0.37,0.37,0.37,137.4,estimated
Alpine,2023,8,3.76,2.48,1.49,0.99,0.4,0.4,0.4,137.4,estimated
Alpine,2023,9,3.55,2.33,1.4,0.93,0.37,0.37,0.37,137.4,estimated
Alpine,2023,10,3.34,2.2,1.32,0.88,0.35,0.35,0.35,137.4,estimated
Alpine,2023,11,3.46,2.28,1.37,0.91,0.36,0.36,0.36,137.4,estimated
Alpine,2023,12,3.09,2.04,1.22,0.81,0.33,0.33,0.33,137.4,estimated
Ferrari,2021,1,4.25,2.8,1.68,1.12,0.45,0.45,0.45,147.4,estimated
Ferrari,2021,2,4.05,2.66,1.6,1.07,0.43,0.43,0.43,147.4,estimated
Ferrari,2021,3,4.49,2.95,1.77,1.18,0.47,0.47,0.47,147.4,estimated
Ferrari,2021,4,4.78,3.15,1.89,1.26,0.5,0.5,0.5,147.4,estimated
Ferrari,2021,5,4.9,3.22,1.93,1.29,0.52,0.52,0.52,147.4,estimated
Ferrari,2021,6,4.73,3.11,1.87,1.25,0.5,0.5,0.5,147.4,estimated
Ferrari,2021,7,4.83,3.18,1.91,1.27,0.51,0.51,0.51,147.4,estimated
Ferrari,2021,8,4.76,3.13,1.88,1.25,0.5,0.5,0.5,147.4,estimated
Ferrari,2021,9,4.56,3.0,1.8,1.2,0.48,0.48,0.48,147.4,estimated
Ferrari,2021,10,4.53,2.98,1.79,1.19,0.48,0.48,0.48,147.4,estimated
Ferrari,2021,11,4.47,2.94,1.77,1.18,0.47,0.47,0.47,147.4,estimated
Ferrari,2021,12,4.45,2.93,1.76,1.17,0.47,0.47,0.47,147.4,estimated
Ferrari,2022,1,4.05,2.67,1.6,1.07,0.43,0.43,0.43,142.4,estimated
Ferrari,2022,2,3.87,2.55,1.53,1.02,0.41,0.41,0.41,142.4,estimated
Ferrari,2022,3,4.47,2.94,1.77,1.18,0.47,0.47,0.47,142.4,estimated
Ferrari,2022,4,4.47,2.94,1.76,1.18,0.47,0.47,0.47,142.4,estimated
Ferrari,2022,5,4.47,2.94,1.77,1.18,0.47,0.47,0.47,142.4,estimated
Ferrari,2022,6,4.55,2.99,1.8,1.2,0.48,0.48,0.48,142.4,estimated
Ferrari,2022,7,4.73,3.11,1.87,1.25,0.5,0.5,0.5,142.4,estimated
Ferrari,2022,8,4.68,3.08,1.85,1.23,0.49,0.49,0.49,142.4,estimated
Ferrari,2022,9,4.41,2.9,1.74,1.16,0.46,0.46,0.46,142.4,estimated
Ferrari,2022,10,4.35,2.86,1.72,1.15,0.46,0.46,0.46,142.4,estimated
Ferrari,2022,11,4.35,2.86,1.72,1.14,0.46,0.46,0.46,142.4,estimated
Ferrari,2022,12,4.22,2.78,1.67,1.11,0.44,0.44,0.44,142.4,estimated
Ferrari,2023,1,3.79,2.49,1.49,1.0,0.4,0.4,0.4,137.4,estimated
Ferrari,2023,2,3.9,2.57,1.54,1.03,0.41,0.41,0.41,137.4,estimated
Ferrari,2023,3,4.11,2.71,1.62,1.08,0.43,0.43,0.43,137.4,estimated
Ferrari,2023,4,4.18,2.75,1.65,1.1,0.44,0.44,0.44,137.4,estimated
Ferrari,2023,5,4.47,2.94,1.76,1.18,0.47,0.47,0.47,137.4,estimated
Ferrari,2023,6,4.45,2.93,1.76,1.17,0.47,0.47,0.47,137.4,estimated
Ferrari,2023,7,4.4,2.9,1.74,1.16,0.46,0.46,0.46,137.4,estimated
Ferrari,2023,8,4.49,2.95,1.77,1.18,0.47,0.47,0.47,137.4,estimated
Ferrari,2023,9,4.37,2.88,1.73,1.15,0.46,0.46,0.46,137.4,estimated
Ferrari,2023,10,4.13,2.72,1.63,1.09,0.43,0.43,0.43,137.4,estimated
Ferrari,2023,11,4.17,2.74,1.65,1.1,0.44,0.44,0.44,137.4,estimated
Ferrari,2023,12,4.11,2.7,1.62,1.08,0.43,0.43,0.43,137.4,estimated
McLaren,2021,1,3.66,2.41,1.44,0.96,0.39,0.39,0.39,147.4,estimated
McLaren,2021,2,3.92,2.58,1.55,1.03,0.41,0.41,0.41,147.4,estimated
McLaren,2021,3,3.75,2.47,1.48,0.99,0.39,0.39,0.39,147.4,estimated
McLaren,2021,4,4.22,2.78,1.67,1.11,0.44,0.44,0.44,147.4,estimated
McLaren,2021,5,4.18,2.75,1.65,1.1,0.44,0.44,0.44,147.4,estimated
McLaren,2021,6,4.05,2.67,1.6,1.07,0.43,0.43,0.43,147.4,estimated
McLaren,2021,7,4.22,2.77,1.66,1.11,0.44,0.44,0.44,147.4,estimated
McLaren,2021,8,3.94,2.59,1.55,1.04,0.41,0.41,0.41,147.4,estimated
McLaren,2021,9,4.1,2.7,1.62,1.08,0.43,0.43,0.43,147.4,estimated
McLaren,2021,10,4.05,2.67,1.6,1.07,0.43,0.43,0.43,147.4,estimated
McLaren,2021,11,4.11,2.7,1.62,1.08,0.43,0.43,0.43,147.4,estimated
McLaren,2021,12,3.68,2.42,1.45,0.97,0.39,0.39,0.39,147.4,estimated
McLaren,2022,1,3.43,2.26,1.36,0.9,0.36,0.36,0.36,142.4,estimated
McLaren,2022,2,3.54,2.33,1.4,0.93,0.37,0.37,0.37,142.4,estimated
McLaren,2022,3,4.0,2.63,1.58,1.05,0.42,0.42,0.42,142.4,estimated
McLaren,2022,4,4.01,2.64,1.58,1.05,0.42,0.42,0.42,142.4,estimated
McLaren,2022,5,3.95,2.6,1.56,1.04,0.42,0.42,0.42,142.4,estimated
McLaren,2022,6,3.99,2.62,1.57,1.05,0.42,0.42,0.42,142.4,estimated
McLaren,2022,7,4.05,2.67,1.6,1.07,0.43,0.43,0.43,142.4,estimated
McLaren,2022,8,4.11,2.71,1.62,1.08,0.43,0.43,0.43,142.4,estimated
McLaren,2022,9,3.89,2.56,1.54,1.02,0.41,0.41,0.41,142.4,estimated
McLaren,2022,10,3.82,2.51,1.51,1.01,0.4,0.4,0.4,142.4,estimated
McLaren,2022,11,3.74,2.46,1.48,0.98,0.39,0.39,0.39,142.4,estimated
McLaren,2022,12,3.44,2.26,1.36,0.9,0.36,0.36,0.36,142.4,estimated
McLaren,2023,1,3.46,2.27,1.36,0.91,0.36,0.36,0.36,137.4,estimated
McLaren,2023,2,3.52,2.32,1.39,0.93,0.37,0.37,0.37,137.4,estimated
McLaren,2023,3,3.79,2.49,1.49,1.0,0.4,0.4,0.4,137.4,estimated
McLaren,2023,4,3.83,2.52,1.51,1.01,0.4,0.4,0.4,137.4,estimated
McLaren,2023,5,3.74,2.46,1.48,0.98,0.39,0.39,0.39,137.4,estimated
McLaren,2023,6,3.78,2.48,1.49,0.99,0.4,0.4,0.4,137.4,estimated
McLaren,2023,7,3.89,2.56,1.54,1.02,0.41,0.41,0.41,137.4,estimated
McLaren,2023,8,3.81,2.5,1.5,1.0,0.4,0.4,0.4,137.4,estimated
McLaren,2023,9,3.84,2.53,1.52,1.01,0.4,0.4,0.4,137.4,estimated
McLaren,2023,10,3.79,2.5,1.5,1.0,0.4,0.4,0.4,137.4,estimated
McLaren,2023,11,3.88,2.55,1.53,1.02,0.41,0.41,0.41,137.4,estimated
McLaren,2023,12,3.52,2.31,1.39,0.93,0.37,0.37,0.37,137.4,estimated
Mercedes,2021,1,4.24,2.79,1.67,1.12,0.45,0.45,0.45,147.4,estimated
Mercedes,2021,2,4.28,2.82,1.69,1.13,0.45,0.45,0.45,147.4,estimated
Mercedes,2021,3,4.39,2.89,1.73,1.16,0.46,0.46,0.46,147.4,estimated
Mercedes,2021,4,4.73,3.11,1.87,1.24,0.5,0.5,0.5,147.4,estimated
Mercedes,2021,5,4.79,3.15,1.89,1.26,0.5,0.5,0.5,147.4,estimated
Mercedes,2021,6,5.02,3.3,1.98,1.32,0.53,0.53,0.53,147.4,estimated
